tree name;diameter mean
Acer campestre;13.66
Quercus ilex;13.66
Bauhinia variegata;13.53
Citrus paradisi;13.5
Pyrus communis;13
Sambucus australis;13
Yucca sp.;13
Metrosideros citrinus;12.83
Brunfelsia australis;12.68
Plumeria rubra;12.66
Quercus sp.;12.5
Chamaecyparis lawsoniana;12.2
Mespilus germanica;12.19
Annona cherimola;12.12
Acer saccharinum;12.03
Aesculus x carnea;12
Dracaena arborea;12
Pyracantha coccinea;12
Salix  viminalis;12
Bauhinia forficata;11.95
Betula pendula;11.91
Lagerstroemia indica;11.7
Brugmansia arborea;11.66
Pinus taeda;11.45
Acer buergerianum;11.15
Handroanthus pulcherrimus;11.14
Ficus microcarpa;11
Philadelphus coronarius;11
Eugenia myrtifolia;10.95
Rhus succedanea;10.62
Buxus sempervirens;10.6
Plumeria alba;10.5
Acca sellowiana;10.33
Carica Papaya;10
Datura metel;10
Eucalyptus globulus var. globulus;10
Ilex cornuta;10
Ilex sp.;10
Prunus laurocerasus;10
Pterocarya rhoifolia;10
Acer negundo f.aureo marginatum;9.75
Thuja sp.;9.62
Malvaviscus arboreus;9.6
Picea abies;9.4
Cercis siliquastrum;9.29
Acer sp.;9
Alnus glutinosa;9
Camellia japonica;9
Crataegus macrosperma;9
Poncirus trifoliata;9
Thuja plicata;9
Ilex aquifolium;8.83
Koelreuteria paniculata;8.66
Photinia serrulata;8.47
Nicotiana glauca;8.11
Brunfelsia pauciflora;8
Juglans mandshurica;8
Salix babylonica var. sacramenta;8
Photinia x fraseri;7.85
Juglans australis;7.75
Acer pseudoplatanus f. atropurpurea;7.5
Juniperus sp.;6
Senna corymbosa;5.11
Duranta erecta variegata;5
Eugenia sp.;5
Senna pendula;5
Sesbania virgata;5
Eucalyptus cinerea;4.75
Aspidosperma australe;4
Brugmansia sp.;4
Salix matsudana tortuosa;4
Scutia buxifolia;4
Abutilon pictum;3
Schinus sp.;3
Acer monspessolanum;2
Cordia boissieri;2
Tecoma stans ;2
